solver,problem_size,count,mean,std,min,median,max
MCTSOnly,25,30,14724.566666666668,1226.7827754581974,12195.0,14965.5,16808.0
MCTSOnly,50,30,21080.766666666666,1350.5579608988007,18406.0,21066.5,23528.0
MCTSOnly,100,30,29871.033333333333,1389.4299620852528,27839.0,29873.0,32441.0
MCTSOnly,200,30,42658.066666666666,1267.2647148371423,40219.0,42634.0,44826.0
MCTSOnly,500,30,72328.23333333334,2127.128997325827,68611.0,72537.5,75919.0
MCTSOnly,1000,30,112041.66666666667,2976.285654780228,106774.0,111363.5,118879.0
UTSPSolver,25,30,14724.566666666668,1226.7827754581974,12195.0,14965.5,16808.0
UTSPSolver,50,30,21080.766666666666,1350.5579608988007,18406.0,21066.5,23528.0
UTSPSolver,100,30,29873.066666666666,1394.0141475889548,27839.0,29873.0,32441.0
UTSPSolver,200,30,42687.26666666667,1226.1772930628708,40357.0,42547.0,44918.0
UTSPSolver,500,30,72100.2,2116.920753325941,67955.0,71971.0,75989.0
UTSPSolver,1000,30,111709.83333333333,2878.6559014322256,106335.0,112283.0,117027.0
